id,links
F1,"UC1,UC24,UC35,UC42"
F2,"UC6,UC14"
F3,"UC2,UC4,UC6,UC15,UC29,UC42"
F4,"UC6,UC7,UC14,UC15,UC31,UC32,UC33"
F5,"UC2,UC4,UC7,UC15,UC16,UC17,UC23"
F6,"UC16,UC17,UC36,UC42"
F7,"UC17,UC19,UC42"
F8,"UC17,UC19,UC42"
F9,"UC2,UC4,UC7,UC8,UC15,UC16,UC17,UC21,UC25"
F10,"UC2,UC6,UC7,UC14,UC15,UC24"
F11,"UC2,UC4,UC7,UC15,UC16,UC17,UC23,UC25"
F12,"UC29,UC42"
F13,"UC6,UC14,UC31,UC32,UC33"
F14,"UC6,UC14,UC31,UC32,UC33"
F15,"UC1,UC24,UC29,UC35,UC42"
F16,"UC6,UC14,UC31,UC32,UC33"
F17,"UC1,UC24,UC25,UC29,UC35,UC42"
F18,"UC6,UC7,UC14,UC24,UC31,UC32,UC33"
F19,"UC35,UC36,UC42"
F20,"UC2,UC4,UC7,UC8,UC15,UC16,UC17,UC18,UC25,UC27"
F21,"UC2,UC25,UC27"
F22,"UC2,UC8,UC18,UC25,UC27"
F23,"UC2,UC8,UC18,UC25,UC27"
F24,"UC2,UC7,UC8,UC18,UC25,UC27"
F25,"UC2,UC8,UC18"
F26,"UC2,UC4,UC7,UC8,UC15,UC16,UC17,UC21,UC22,UC23,UC25,UC27"
F27,"UC4,UC19"
F28,"UC2,UC4,UC8,UC17,UC18,UC25,UC27"
F29,"UC4,UC7,UC8,UC15,UC16,UC17,UC19,UC25,UC36,UC42"
F30,"UC2,UC4,UC7,UC8,UC15,UC16,UC17,UC21,UC22,UC23,UC25,UC27"
F31,"UC4,UC7,UC8,UC15,UC16,UC17,UC19,UC25,UC36"
F32,"UC1,UC24,UC25,UC29,UC35,UC42"
F33,"UC1,UC29,UC35"
F34,"UC1,UC19,UC29,UC35"
F35,"UC36,UC40,UC42"
F36,"UC6,UC14,UC16,UC21,UC24,UC36,UC42"
F37,UC24
F38,"UC14,UC31,UC32,UC33"
F39,"UC14,UC31,UC32,UC33,UC36,UC40"
F40,"UC14,UC31,UC32,UC33"
F41,"UC14,UC31,UC32,UC33,UC36,UC40"
F42,"UC8,UC18,UC25,UC27"
F43,"UC6,UC14,UC31,UC32,UC33"
F44,"UC31,UC32,UC33,UC36,UC40"
F45,"UC1,UC29,UC35"
F46,"UC1,UC24,UC35,UC42"
F47,"UC7,UC29"
F48,"UC2,UC4,UC7,UC8,UC15,UC16,UC17,UC22,UC23,UC25,UC27"
F49,UC42
